epoch	metric_class1	metric_class2	metric	loss	iter	time	train_time	validation_time	epoch_time
0	0.00	0.00	0.00	1.0810	0	1018.39s	757.22s	247.40s	1004.62s
10	25.84	74.11	49.98	0.6082	2400	8765.27s	746.10s	246.05s	992.15s
